Player,Position,Team(s),Date_of_Birth,Height,Weight,College,Years_Played
Myles Cole,DL,"CIN, JAX",4/29/2000,78,278,Texas Tech; Louisiana-Monroe,2
Mike Pennel,DL,"CIN, KC",5/9/1991,76,330,Colorado State (Pueblo); Arizona State; Scottsdale CC,11
Tanner McLachlan,TE,"CIN, LAC",3/15/1999,77,245,Arizona,2
Brian Asamoah II,LB,"CIN, LV",3/29/2000,72,226,Oklahoma,4
Caleb Etienne,OL,"CIN, MIN",8/29/2001,80,320,BYU; Oklahoma State; Butler University,0
Isaiah Foskey,DL,"CIN, NO",10/30/2000,77,270,Notre Dame,3
Isaiah Williams,WR,"CIN, NYJ",1/29/2001,70,185,Illinois,2
Antwaun Powell-Ryland,LB,"CIN, PHI",2/23/2002,75,258,Virginia Tech; Florida,0
Cal Adomitis,LS,"CIN, PHI, PIT",7/9/1998,74,238,Pittsburgh,4
Ke'Shawn Williams,WR,"CIN, PIT",12/27/2001,69,186,Indiana; Wake Forest,0
Jordan Jefferson,DL,"CIN, SF",9/24/2001,74,316,LSU,2
Anthony Kendall,DB,CLE,12/17/1999,70,188,Baldwin Wallace College,2
Chris Edmonds,DB,CLE,7/16/2001,74,210,Arizona State; Samford,1
Christian Holmes,DB,CLE,11/14/1997,73,205,Oklahoma State,2
Denzel Ward,DB,CLE,4/28/1997,71,190,Ohio State,8
Dom Jones,DB,CLE,7/16/2000,74,192,Colorado State; North Dakota State,0
Donovan McMillon,DB,CLE,6/18/2002,74,203,Pittsburgh; Florida,0
Grant Delpit,DB,CLE,9/20/1998,75,208,LSU,6
Keenan Isaac,DB,CLE,2/17/2000,75,190,Alabama State,1
Martin Emerson,DB,CLE,9/27/2000,74,200,Mississippi State,4
Myles Harden,DB,CLE,12/13/2001,71,195,South Dakota,2
Rayshawn Jenkins,DB,CLE,1/25/1994,73,220,Miami,9
Ronnie Hickman Jr.,DB,CLE,10/11/2001,73,209,Ohio State,3
Tony Brown,DB,CLE,7/13/1995,72,200,Alabama,6
Adin Huntington,DL,CLE,3/18/2002,73,281,Tulane; Louisiana-Monroe; Kent State,0
Alex Wright,DL,CLE,9/5/2000,77,267,UAB,4
Cameron Thomas,DL,CLE,7/1/2000,76,265,San Diego State,4
Isaiah McGuire,DL,CLE,7/27/2001,76,268,Missouri,3
Keith Cooper Jr.,DL,CLE,3/30/2003,77,280,Houston; Tulane,0
Maliek Collins,DL,CLE,4/8/1995,74,310,Nebraska,10
Mason Graham,DL,CLE,9/3/2003,76,315,Michigan,0
Maurice Hurst,DL,CLE,5/9/1995,74,291,Michigan,8
Mike Hall Jr.,DL,CLE,6/13/2003,75,300,Ohio State,2
Myles Garrett,DL,CLE,12/29/1995,76,272,Texas A&M,9
Ralph Holley,DL,CLE,1/22/1999,73,285,Western Michigan,1
Sam Kamara,DL,CLE,12/21/1997,72,272,Stony Brook,3
Shelby Harris,DL,CLE,8/11/1991,74,288,Illinois State; Wisconsin,11
Andre Szmyt,K,CLE,9/26/1998,72,200,Syracuse,1
Dustin Hopkins,K,CLE,10/1/1990,74,210,Florida State,11
Carson Schwesinger,LB,CLE,2/24/2003,75,242,UCLA,0
Charlie Thomas,LB,CLE,1/31/2000,75,216,Georgia Tech,0
Devin Bush,LB,CLE,7/18/1998,71,234,Michigan,7
Easton Mascarenas-Arnold,LB,CLE,9/13/2002,71,226,USC; Oregon State,0
Edefuan Ulofoshio,LB,CLE,1/23/2000,73,239,Washington,2
Elerson Smith,LB,CLE,7/17/1998,78,255,Northern Iowa,3
Jeremiah Owusu-Koramoah,LB,CLE,11/4/1999,74,221,Notre Dame,5
Jerome Baker,LB,CLE,12/25/1996,74,232,Ohio State,8
Joe Tryon-Shoyinka,LB,CLE,4/30/1999,77,259,Washington,5
Jordan Hicks,LB,CLE,6/27/1992,73,236,Texas,10
Julian Okwara,LB,CLE,12/27/1997,76,250,Notre Dame,6
Marvin Moody,LB,CLE,,,,,
Mohamoud Diabate,LB,CLE,5/18/2001,76,225,Utah,3
Nathaniel Watson,LB,CLE,9/1/2000,72,233,Mississippi State,2
Sam Kamara,LB,CLE,12/21/1997,72,272,Stony Brook,3
Winston Reid,LB,CLE,8/3/1999,72,225,Weber State,2
Rex Sunahara,LS,CLE,10/9/1996,78,242,West Virginia,2
Bucky Williams,OL,CLE,3/20/2000,75,300,Appalachian State; Austin Peay,0
Cornelius Lucas,OL,CLE,7/18/1991,80,327,Kansas State,11
Dartanyan Tinsley,OL,CLE,,,,,
Dawand Jones,OL,CLE,8/6/2001,80,375,Ohio State,3
Ethan Pocic,OL,CLE,8/5/1995,78,320,LSU,9
Jack Conklin,OL,CLE,8/17/1994,78,308,Michigan State,10
Jackson Barton,OL,CLE,8/8/1995,79,302,Utah,5
Jason Ivey,OL,CLE,,,,,
Javion Cohen,OL,CLE,8/8/2002,76,322,Miami; Alabama,0
Joel Bitonio,OL,CLE,10/11/1991,76,320,Nevada,12
Justin Osborne,OL,CLE,11/25/2000,77,305,SMU; Auburn,0
KT Leveston,OL,CLE,10/28/1999,76,335,Kansas State,2
Lorenzo Thompson,OL,CLE,6/21/2000,78,305,Rhode Island,0
Luke Wypler,OL,CLE,5/3/2001,75,303,Ohio State,3
Teven Jenkins,OL,CLE,3/3/1998,78,320,Oklahoma State,5
Wyatt Teller,OL,CLE,11/21/1994,76,315,Virginia Tech,8
Zak Zinter,OL,CLE,4/17/2001,78,310,Michigan,2
Corey Bojorquez,P,CLE,9/13/1996,72,217,New Mexico; Cerritos College,8
Bailey Zappe,QB,CLE,4/26/1999,73,215,Western Kentucky; Houston Christian University,4
Deshaun Watson,QB,CLE,9/14/1995,75,223,Clemson,9
Dillon Gabriel,QB,CLE,12/28/2000,71,205,Oregon; Oklahoma; UCF,0
Shedeur Sanders,QB,CLE,2/7/2002,74,212,Colorado; Jackson State University,0
Ahmani Marshall,RB,CLE,3/21/2002,73,225,Appalachian State; Wake Forest,0
Dylan Sampson,RB,CLE,9/14/2004,68,201,Tennessee,0
Jerome Ford,RB,CLE,9/12/1999,70,210,Cincinnati; Alabama,4
Quinshon Judkins,RB,CLE,10/29/2003,72,219,Ohio State; Mississippi,0
Raheim Sanders,RB,CLE,6/8/2002,72,230,South Carolina; Arkansas,0
Blake Whiteheart,TE,CLE,3/22/2000,76,250,Wake Forest,3
David Njoku,TE,CLE,7/10/1996,76,246,Miami,9
Harold Fannin Jr.,TE,CLE,7/20/2004,76,241,Bowling Green,0
Mitch Van Vooren,TE,CLE,,,,,
Sal Cannella,TE,CLE,12/2/1996,77,242,Auburn,1
Cade McDonald,WR,CLE,5/7/2001,70,196,Miami (Ohio); Michigan State,0
Cedric Tillman,WR,CLE,4/19/2000,75,215,Tennessee,3
Chase Cota,WR,CLE,11/9/1999,76,200,Oregon; UCLA,1
David Bell,WR,CLE,12/14/2000,73,212,Purdue,4
DeAndre Carter,WR,CLE,4/10/1993,68,190,Sacramento State,8
Diontae Johnson,WR,CLE,7/5/1996,70,183,Toledo,6
Gage Larvadain,WR,CLE,1/3/2003,68,171,South Carolina; Miami (Ohio),0
Isaiah Bond,WR,CLE,3/15/2004,71,180,Texas; Alabama,0
Jamari Thrash,WR,CLE,12/19/2000,72,190,Louisville; Georgia State,2
Jerry Jeudy,WR,CLE,4/24/1999,73,195,Alabama,6
Kaden Davis,WR,CLE,9/25/1998,73,193,NW Missouri State University,1
Luke Floriea,WR,CLE,10/23/2001,68,170,Kent State,0
Malachi Corley,WR,CLE,3/21/2002,71,215,Western Kentucky,2
Wesley French,OL,"CLE, DAL, IND",11/30/1996,76,307,Western Michigan,4
Caden Prieskorn,TE,"CLE, DEN, TB",9/21/1999,77,255,Mississippi; Memphis,0
Damontae Kazee,DB,"CLE, DET",6/5/1993,71,174,San Diego State,9
Kingsley Eguakun,OL,"CLE, DET",3/23/2001,75,305,Florida,1
Jack Conley,OL,"CLE, DET, NE",6/15/2001,79,235,Boston College,0
Pierre Strong,RB,"CLE, GB",12/10/1998,71,215,South Dakota State,4
Kisean Johnson,WR,"CLE, GB",1/28/2002,73,216,Western Kentucky; Alabama State,0
Ameer Speed,DB,"CLE, HOU",10/11/1999,75,215,Michigan State; Georgia,3
D'Angelo Ross,DB,"CLE, HOU",10/29/1996,69,190,New Mexico,4
Cam Robinson,OL,"CLE, HOU",10/9/1995,78,335,Alabama,9
Brenden Bates,TE,"CLE, HOU",10/16/1999,77,255,Kentucky,2
LaDarius Henderson,OL,"CLE, HOU, IND",12/11/2001,76,309,Michigan; Arizona State,2
Cameron Mitchell,DB,"CLE, IND",9/8/2001,71,191,Northwestern,3
Cameron McGrone,LB,"CLE, IND",6/22/2000,73,236,Michigan,3
Greg Newsome II,DB,"CLE, JAX",5/18/2000,72,192,Northwestern,5
Tyson Campbell,DB,"CLE, JAX",3/17/2000,73,195,Georgia,5
Trayveon Williams,RB,"CLE, LAC",10/18/1997,68,206,Texas A&M,7
Cole Strange,OL,"CLE, MIA",7/31/1998,77,310,Tennessee-Chattanooga,4
Sebastian Gutierrez,OL,"CLE, NE",7/6/1998,77,308,Minot State University,1
Thayer Munford Jr.,OL,"CLE, NE",9/18/1999,77,354,Ohio State,4
Mark Robinson,LB,"CLE, NE, NYJ, PIT",8/14/1999,71,235,Mississippi,4
Dee Williams,DB,"CLE, NYG",12/6/1999,70,190,Tennessee,2
Jarrick Bernard-Converse,DB,"CLE, NYG",4/29/2000,73,205,LSU; Oklahoma State,3
LaMareon James,DB,"CLE, NYG",10/25/2000,70,192,TCU; Old Dominion,0
Nik Needham,DB,"CLE, NYJ",11/4/1996,73,196,Texas-El Paso,6
Ochaun Mathis,LB,"CLE, NYJ, PHI, TEN",1/8/1999,77,250,Nebraska; TCU,3
Titus Leo,DL,"CLE, PHI",8/26/1999,75,245,Wagner,3
KJ Henry,DL,"CLE, PHI, PIT",1/27/1999,76,255,Clemson,3
Logan Brown,OL,"CLE, SEA",4/17/2001,78,312,Kansas; Wisconsin,0
Tre Avery,DB,"CLE, TB",2/26/1997,71,185,Rutgers,3
Sam Webb,DB,"CLE, TEN",5/19/1998,72,194,Missouri Western,3
Garrett Dellinger,OL,"CLE, TEN",2/18/2002,77,322,LSU,0
Tyre Phillips,OL,"CLE, WAS",1/29/1997,77,325,Mississippi State; East Mississippi JC,4
Alijah Clark,DB,DAL,7/11/2003,73,200,Syracuse; Rutgers,0
Andrew Booth,DB,DAL,9/28/2000,72,194,Clemson,3
C.J. Goodwin,DB,DAL,2/4/1990,75,190,California (PA); Bethany West; Fairmont State,10
Caelen Carson,DB,DAL,3/3/2002,72,198,Wake Forest,2
Christian Matthew,DB,DAL,10/26/1996,74,195,Valdosta State,4
DaRon Bland,DB,DAL,7/12/1999,72,197,Fresno State,4
Donovan Wilson,DB,DAL,2/21/1995,72,204,Texas A&M,7
Josh Butler,DB,DAL,11/25/1996,72,192,Michigan State,2
Juanyeh Thomas,DB,DAL,6/24/2000,75,217,Georgia Tech,3
Malik Hooker,DB,DAL,4/2/1996,73,212,Ohio State,9
Markquese Bell,DB,DAL,1/6/1999,75,205,Florida A&M,4
Michael Ojemudia,DB,DAL,9/12/1997,73,200,Iowa,4
Mike Smith Jr.,DB,DAL,,,,,
Reddy Steward,DB,DAL,5/4/2001,71,178,Troy,1
Shavon Revel Jr.,DB,DAL,4/12/2002,74,198,East Carolina; Louisburg,0
Trikweze Bridges,DB,DAL,9/20/2000,74,200,Florida; Oregon,0
Adedayo Odeleye,DL,DAL,10/17/1997,77,283,,1
Dante Fowler Jr.,DL,DAL,8/3/1994,75,261,Florida,11
Donovan Ezeiruaku,DL,DAL,5/25/2003,74,248,Boston College,0
Earnest Brown IV,DL,DAL,1/8/1999,77,270,Northwestern,3
Isaiah Land,DL,DAL,2/5/2000,76,235,Florida A&M,3
Jadeveon Clowney,DL,DAL,2/14/1993,77,266,South Carolina,12
James Houston,DL,DAL,11/16/1998,73,241,Jackson State University,4
Jay Toia,DL,DAL,7/16/2003,74,342,UCLA; USC,0
Kenny Clark,DL,DAL,10/4/1995,75,314,UCLA,10
Marshawn Kneeland,DL,DAL,7/8/2001,75,268,Western Michigan,2
Osa Odighizuwa,DL,DAL,8/13/1998,74,280,UCLA,5
Payton Turner,DL,DAL,1/7/1999,78,275,Houston,5
Perrion Winfrey,DL,DAL,8/15/2000,76,290,Oklahoma; Iowa Western CC,2
Sam Williams,DL,DAL,3/31/1999,76,261,Mississippi,4
Solomon Thomas,DL,DAL,8/26/1995,75,285,Stanford,9
Brandon Aubrey,K,DAL,3/14/1995,75,218,Notre Dame,3
Dante Fowler Jr.,LB,DAL,8/3/1994,75,261,Florida,11
DeMarvion Overshown,LB,DAL,8/13/2000,75,230,Texas,3
Jack Sanborn,LB,DAL,7/29/2000,74,234,Wisconsin,4
Jadeveon Clowney,LB,DAL,2/14/1993,77,266,South Carolina,12
Justin Barron,LB,DAL,10/25/2001,76,235,Syracuse,0
"Kenneth Murray, Jr.",LB,DAL,11/16/1998,74,241,Oklahoma,6
Marist Liufau,LB,DAL,2/9/2001,74,239,Notre Dame,2
Shemar James,LB,DAL,6/24/2004,73,222,Florida,0
Trent Sieg,LS,DAL,5/19/1995,76,240,Colorado State,8
Ajani Cornelius,OL,DAL,5/21/2002,76,310,Oregon; Rhode Island,0
Brock Hoffman,OL,DAL,7/2/1999,76,302,Virginia Tech; Coastal Carolina,3
Cooper Beebe,OL,DAL,5/19/2001,76,330,Kansas State,2
Hakeem Adeniji,OL,DAL,12/8/1997,76,302,Kansas,6
La'el Collins,OL,DAL,7/26/1993,76,315,LSU,9
Nathan Thomas,OL,DAL,8/22/2001,77,330,Louisiana-Lafayette,2
Robert Jones,OL,DAL,1/28/1999,76,321,Middle Tennessee State,5
TJ Bass,OL,DAL,3/31/1999,77,325,Oregon; Butte College,3
Terence Steele,OL,DAL,6/4/1997,78,310,Texas Tech,6
Trevor Keegan,OL,DAL,8/30/2000,77,306,Michigan,2
Tyler Booker,OL,DAL,4/12/2004,76,321,Alabama,0
Tyler Guyton,OL,DAL,6/11/2002,79,322,Oklahoma; TCU,2
Tyler Smith,OL,DAL,4/3/2001,77,332,Tulsa,4
Tyron Smith,OL,DAL,12/12/1990,77,320,USC,14
Bryan Anger,P,DAL,10/6/1988,75,202,California,14
Dak Prescott,QB,DAL,7/29/1993,74,238,Mississippi State,10
Joe Milton III,QB,DAL,3/6/2000,77,246,Tennessee; Michigan,2
Will Grier,QB,DAL,4/3/1995,73,212,West Virginia; Florida State,6
Hunter Luepke,RB,DAL,2/28/2000,73,238,North Dakota State,3
Javonte Williams,RB,DAL,4/25/2000,70,220,North Carolina,5
Jaydon Blue,RB,DAL,1/8/2004,69,198,Texas,0
Malik Davis,RB,DAL,11/26/1998,70,205,Florida,2
Miles Sanders,RB,DAL,5/1/1997,71,211,Penn State,7
Phil Mafah,RB,DAL,10/24/2002,73,232,Clemson,0
Brevyn Spann-Ford,TE,DAL,12/27/1999,79,270,Minnesota,2
Jake Ferguson,TE,DAL,1/18/1999,77,244,Wisconsin,4
John Stephens Jr.,TE,DAL,9/23/1999,78,240,Louisiana-Lafayette; TCU,3
Luke Schoonmaker,TE,DAL,9/28/1998,77,250,Michigan,3
Princeton Fant,TE,DAL,3/11/1999,74,245,Tennessee,2
Tyler Neville,TE,DAL,,,,,
CeeDee Lamb,WR,DAL,4/8/1999,74,200,Oklahoma,6
George Pickens,WR,DAL,3/4/2001,75,200,Georgia,4
Jalen Cropper,WR,DAL,5/3/2001,71,180,Fresno State,1
Jalen Tolbert,WR,DAL,2/27/1999,73,195,South Alabama,4
Jonathan Mingo,WR,DAL,4/20/2001,74,225,Mississippi,3
KaVontae Turpin,WR,DAL,8/2/1996,69,153,TCU,4
Parris Campbell,WR,DAL,7/16/1997,73,205,Ohio State,7
Ryan Flournoy,WR,DAL,10/27/1999,73,205,Southeast Missouri State; Iowa Western CC,2
Traeshon Holden,WR,DAL,9/12/2001,74,208,Oregon; Alabama,0
Geron Christian,OL,"DAL, DEN",9/10/1996,77,302,Louisville,8
Deuce Vaughn,RB,"DAL, DEN",11/2/2001,65,185,Kansas State,3
Trevon Diggs,DB,"DAL, GB",9/20/1998,73,195,Alabama,6
Israel Abanikanda,RB,"DAL, GB",10/5/2002,70,216,Pittsburgh,3
Zion Childress,DB,"DAL, HOU",1/21/2002,71,203,Kentucky; Texas State-San Marcos,0
Damone Clark,LB,"DAL, HOU",6/28/2000,74,240,LSU,4
Troy Pride,DB,"DAL, IND",1/19/1998,71,198,Notre Dame,3
Buddy Johnson,LB,"DAL, IND",2/27/1999,74,240,Texas A&M,4
Marcellus Johnson,OL,"DAL, IND",4/1/2000,76,307,Missouri; Eastern Michigan,1
Corey Ballentine,DB,"DAL, NE",4/13/1996,72,191,Washburn,7
Mazi Smith,DL,"DAL, NYJ",6/16/2001,75,337,Michigan,3
Quinnen Williams,DL,"DAL, NYJ",12/21/1997,75,303,Alabama,7
Julius Wood,DB,"DAL, TEN",5/2/2001,73,194,East Carolina; Blinn College,2
Kaiir Elam,DB,"DAL, TEN",5/5/2001,73,191,Florida,4
Kemon Hall,DB,"DAL, TEN",6/2/1997,71,202,North Texas,4
Brandon Jones,DB,DEN,4/2/1998,73,191,Texas,6
Delarrin Turner-Yell,DB,DEN,12/16/1999,71,200,Oklahoma,4
Devon Key,DB,DEN,10/28/1997,72,208,Western Kentucky,2
Gregory Junior,DB,DEN,6/21/1999,72,190,Ouachita Baptist University,2
JL Skinner,DB,DEN,4/16/2001,76,220,Boise State,3
Ja'Quan McMillian,DB,DEN,6/4/2000,70,183,East Carolina,3
Jaden Robinson,DB,DEN,11/14/2000,72,193,Oregon State,0
Jahdae Barron,DB,DEN,12/4/2001,71,200,Texas,0
Joshua Pickett,DB,DEN,,,,,
Kris Abrams-Draine,DB,DEN,10/4/2001,71,178,Missouri,2
Micah Abraham,DB,DEN,12/11/2000,71,185,Marshall,0
P.J. Locke,DB,DEN,2/12/1997,70,202,Texas,6
Pat Surtain II,DB,DEN,4/14/2000,74,202,Alabama,5
Quinton Newsome,DB,DEN,7/11/2001,73,185,Nebraska,0
Reese Taylor,DB,DEN,8/27/1999,69,188,Purdue,1
Riley Moss,DB,DEN,3/3/2000,72,193,Iowa,3
Talanoa Hufanga,DB,DEN,2/1/2000,72,200,USC,5
D.J. Jones,DL,DEN,1/19/1995,72,305,Mississippi; East Mississippi JC,9
Eyioma Uwazurike,DL,DEN,5/6/1998,78,320,Iowa State,3
John Franklin-Myers,DL,DEN,9/26/1996,76,288,Stephen F. Austin State,8
Johnny Walker Jr.,DL,DEN,12/12/2001,75,250,Missouri,0
Jordan Jackson,DL,DEN,1/30/1998,77,294,Air Force,2
Jordan Miller,DL,DEN,1/20/2000,75,307,SMU; Miami,1
Kristian Williams,DL,DEN,12/5/2000,74,295,Missouri,0
Malcolm Roach,DL,DEN,6/9/1998,75,290,Texas,6
Matt Henningsen,DL,DEN,7/9/1999,75,291,Wisconsin,3
Michael Dwumfour,DL,DEN,1/1/1998,73,296,Rutgers; Michigan,2
Sai'vion Jones,DL,DEN,6/3/2003,77,289,LSU,0
Zach Allen,DL,DEN,8/20/1997,76,285,Boston College,7
Wil Lutz,K,DEN,7/7/1994,71,184,Georgia State,10
Alex Singleton,LB,DEN,12/7/1993,74,240,Montana State,7
Dondrea Tillman,LB,DEN,4/30/1998,76,247,"Indiana PA,  University of",2
Dre Greenlaw,LB,DEN,5/25/1997,72,230,Arkansas,7
Drew Sanders,LB,DEN,12/31/2000,77,234,Arkansas; Alabama,3
Jonah Elliss,LB,DEN,4/3/2003,74,246,Utah,2
Jonathon Cooper,LB,DEN,1/8/1998,76,257,Ohio State,5
Jordan Turner,LB,DEN,12/13/2001,73,231,Michigan State; Wisconsin,0
Justin Strnad,LB,DEN,8/21/1996,75,235,Wake Forest,6
Karene Reid,LB,DEN,2/19/2000,72,227,Utah,0
Levelle Bailey,LB,DEN,12/4/2000,74,225,Fresno State; Sacramento State,2
Nik Bonitto,LB,DEN,9/26/1999,75,240,Oklahoma,4
Que Robinson,LB,DEN,5/12/2001,76,243,Alabama,0
Mitchell Fraboni,LS,DEN,10/28/1996,74,223,Arizona State,4
Alex Forsyth,OL,DEN,2/13/1999,76,312,Oregon,3
Alex Palczewski,OL,DEN,8/3/1999,78,315,Illinois,3
Ben Powers,OL,DEN,10/29/1996,76,310,Oklahoma; Butler County JC,7
Calvin Throckmorton,OL,DEN,8/16/1996,77,311,Oregon,5
Frank Crum,OL,DEN,5/14/2000,79,315,Wyoming,2
Garett Bolles,OL,DEN,5/27/1992,77,300,Utah; Snow,9
Joseph Michalski,OL,DEN,4/6/2001,77,305,Oklahoma State,0
Luke Wattenberg,OL,DEN,9/10/1997,77,300,Washington,4
Matt Peart,OL,DEN,6/11/1997,79,318,Connecticut,6
Mike McGlinchey,OL,DEN,1/12/1995,80,315,Notre Dame,8
Nick Gargiulo,OL,DEN,7/19/2000,77,327,South Carolina; Yale,1
Quinn Meinerz,OL,DEN,11/15/1998,75,320,Wisconsin-Whitewater,5
Jeremy Crawshaw,P,DEN,5/22/2001,75,205,Florida,0
Bo Nix,QB,DEN,2/25/2000,74,217,Oregon; Auburn,2
Jarrett Stidham,QB,DEN,8/8/1996,75,215,Auburn; McLennan CC; Baylor,6
Sam Ehlinger,QB,DEN,9/30/1998,74,225,Texas,5
Adam Prentice,RB,DEN,1/16/1997,72,245,South Carolina,5
J.K. Dobbins,RB,DEN,12/17/1998,70,212,Ohio State,6
Jaleel McLaughlin,RB,DEN,9/13/2000,67,187,Youngstown State,3
Michael Burton,RB,DEN,2/1/1992,71,242,Rutgers,11
RJ Harvey,RB,DEN,2/4/2001,69,205,UCF; Virginia,0
Tyler Badie,RB,DEN,2/7/1999,68,197,Missouri,2
Adam Trautman,TE,DEN,2/5/1997,77,253,Dayton,6
Caleb Lohner,TE,DEN,10/1/2001,79,250,Utah; Baylor,0
Evan Engram,TE,DEN,9/2/1994,75,240,Mississippi,9
Lucas Krull,TE,DEN,7/11/1998,78,260,Pittsburgh,3
Marcedes Lewis,TE,DEN,5/19/1984,78,267,UCLA,20
Nate Adkins,TE,DEN,7/9/1999,75,252,South Carolina,3
Patrick Murtagh,TE,DEN,2/11/2000,78,250,,2
A.T. Perry,WR,DEN,10/26/1999,77,205,Wake Forest,2
Courtland Sutton,WR,DEN,10/10/1995,76,216,SMU,8
Jerjuan Newton,WR,DEN,,,,,
Kyrese Rowan,WR,DEN,1/25/2001,70,185,Utah State; Utah,0
Marvin Mims Jr.,WR,DEN,3/19/2002,71,182,Oklahoma,3
Michael Bandy,WR,DEN,12/5/1997,70,190,San Diego,3
Pat Bryant,WR,DEN,12/10/2002,75,200,Illinois,0
Thayer Thomas,WR,DEN,5/20/1998,72,195,N.C. State,1
Troy Franklin,WR,DEN,2/6/2003,75,180,Oregon,2
Karsen Barnhart,OL,"DEN, GB, LAC, TB",3/2/2001,77,316,Michigan,1
Cody Schrader,RB,"DEN, HOU, JAX, LA",9/8/1999,69,214,Missouri; Truman State University,2
Tanner McCalister,DB,"DEN, KC, NYJ",1/27/2000,71,191,Ohio State; Oklahoma State,1
Nash Jones,OL,"DEN, LAC",3/29/2002,77,320,Texas State-San Marcos,0
Joaquin Davis,WR,"DEN, MIN",8/18/2002,76,195,North Carolina Central,0
Garrett Nelson,DL,"DEN, NO",3/1/2000,76,245,Nebraska,1
Will Sherman,OL,"DEN, NO",5/27/1999,76,300,Colorado,1
Lil'Jordan Humphrey,WR,"DEN, NYG",4/19/1998,76,225,Texas,6
Keidron Smith,DB,"DEN, NYJ",11/1/1999,74,201,Kentucky,2
Brandon Johnson,WR,"DEN, PIT, TB",7/26/1998,74,195,UCF; Tennessee,3
Andrew Farmer,LB,"DEN, SF",4/19/2000,76,250,Lane College,2
Garret Wallow,LB,"DEN, SF",1/25/1999,74,230,TCU,5
Blake Watson,RB,"DEN, TEN",10/14/1999,69,195,Memphis; Old Dominion,2
Michael Deiter,OL,"DEN, WAS",9/3/1996,78,315,Wisconsin,7
Allan George,DB,DET,7/16/1999,71,191,Vanderbilt,1
Amik Robertson,DB,DET,7/6/1998,69,183,Louisiana Tech,6
Avonte Maddox,DB,DET,3/31/1996,69,191,Pittsburgh,8
Brian Branch,DB,DET,10/22/2001,72,203,Alabama,3
D.J. Miller,DB,DET,,,,,
D.J. Reed,DB,DET,11/11/1996,69,190,Kansas State; Cerritos College; Fresno State,8
Dan Jackson,DB,DET,11/30/2000,73,195,Georgia,0
Daniel Thomas,DB,DET,7/1/1998,70,215,Auburn,6
Ennis Rakestraw Jr.,DB,DET,6/5/2002,71,188,Missouri,2
Ian Kennelly,DB,DET,,,,,
Kendall Fuller,DB,DET,2/13/1995,71,198,Virginia Tech,10
Kerby Joseph,DB,DET,11/14/2000,72,210,Illinois,4
Khalil Dorsey,DB,DET,3/31/1998,68,188,Northern Arizona,5
Loren Strickland,DB,DET,5/31/2000,70,202,Ball State; University of Indianapolis,2
Luq Barcoo,DB,DET,7/27/1998,73,180,San Diego State,2
Morice Norris Jr.,DB,DET,9/27/2000,71,198,Fresno State; Orange Coast College,0
Nick Whiteside,DB,DET,5/1/2000,73,200,Saginaw Valley State,1
Rock Ya-Sin,DB,DET,5/23/1996,71,195,Temple,7
Terrion Arnold,DB,DET,3/22/2003,72,195,Alabama,2
Thomas Harper,DB,DET,11/5/2000,70,195,Notre Dame; Oklahoma State,2
Tyson Russell,DB,DET,,,,,
Ahmed Hassanein,DL,DET,7/9/2002,75,271,Boise State,0
Aidan Hutchinson,DL,DET,8/9/2000,79,268,Michigan,4
Al-Quadin Muhammad,DL,DET,3/28/1995,76,250,Miami,8
Alim McNeill,DL,DET,5/11/2000,74,310,N.C. State,5
Chris Smith,DL,DET,12/15/1999,73,316,Notre Dame; Harvard,2
DJ Reader,DL,DET,7/1/1994,75,330,Clemson,10
Isaac Ukwu,DL,DET,1/14/1999,75,258,Mississippi; James Madison,0
Joshua Paschal,DL,DET,12/17/1999,75,275,Kentucky,4
Keith Cooper,DL,DET,3/30/2003,77,280,Houston; Tulane,0
Levi Onwuzurike,DL,DET,3/2/1998,75,304,Washington,5
Marcus Davenport,DL,DET,9/4/1996,78,285,Texas-San Antonio,8
Mekhi Wingo,DL,DET,4/17/2003,72,288,LSU; Missouri,2
Myles Adams,DL,DET,3/9/1998,74,290,Rice,4
Nate Lynn,DL,DET,7/6/2002,75,252,William & Mary,2
Pat O'Connor,DL,DET,11/1/1993,76,300,Eastern Michigan,7
Quinton Jefferson,DL,DET,3/31/1993,76,291,Maryland,10
Roy Lopez,DL,DET,8/7/1997,74,312,Arizona,5
Tyleik Williams,DL,DET,2/24/2003,75,328,Ohio State,0
Tyler Lacy,DL,DET,11/10/1999,76,285,Oklahoma State,3
Tyrus Wheat,DL,DET,12/8/1999,74,263,Mississippi State,3
Jake Bates,K,DET,3/3/1999,70,202,Arkansas; Central Arkansas,2
Alex Anzalone,LB,DET,9/22/1994,75,234,Florida,9
Anthony Pittman,LB,DET,11/24/1996,75,236,Wayne State,4
DaRon Gilbert,LB,DET,5/26/2001,73,222,Northern Illinois; Lafayette College,0
Derrick Barnes,LB,DET,5/29/1999,72,240,Purdue,5
Ezekiel Turner,LB,DET,6/9/1996,74,225,Washington; Pierce College,8
Grant Stuard,LB,DET,10/15/1998,71,225,Houston,5
Jack Campbell,LB,DET,8/22/2000,77,246,Iowa,3
Malcolm Rodriguez,LB,DET,3/29/1999,71,230,Oklahoma State,4
Marcus Davenport,LB,DET,9/4/1996,78,285,Texas-San Antonio,8
Mitchell Agude,LB,DET,3/10/1999,76,245,Miami; UCLA,1
Monty Rice,LB,DET,1/8/1999,72,233,Georgia,4
Trevor Nowaske,LB,DET,11/7/1998,75,237,Saginaw Valley State,3
